"crypto_fullname","crypto_nrc","gender","programme_as_admitted","school_abbr","school"
"c57cd7c9","ddf66e94","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9a92fee9","568f94e6","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"aebcbe20","987a33bd","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"d287eb1b","63d1427c","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"a0670c01","14c93416","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"82e60aa6","cacc6492","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"10e910a0","c56d6258","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"91dd3cff","25318800","M","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"1ceda92e","5d6ea367","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"8d32c7b5","b9bc41b2","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6aa58dc4","5334806f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0afc5cc6","986089f5","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6bd627e5","4555f977","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d185dd77","0f4486b5","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"67422ff5","27914585","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"3a5f82db","e9e8690e","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"381f5e04","1cff73bf","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b273cd8e","7e2c612f","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"e7a03afa","16ab3a89","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"7a0ecdb8","55785172","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"26c1f2e9","42b83917","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"2e18d9b0","72b9edc9","M","BACHELOR OF EDUCATION - SPECIAL EDUCATION","Education","SCHOOL OF EDUCATION"
"880fa341","74a83564","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"f0c38390","345f4c69","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9f4ecf87","409cd457","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"d7056f65","80a9b909","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"650f0292","2e826e36","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"68a2997f","2ed18c41","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"b140bc31","5b82106a","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"d183eb44","fa974c4f","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"c9396578","c80e9323","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"dbe1b4ac","2bf3735d","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"698d9b14","6f88766d","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"fff7c276","c1c9a3a6","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"f5d5683f","ae81eed9","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6fd81117","a0c5856e","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"f0317eb4","5f315349","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"ab714464","5dd7c13c","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"8ee759dd","df57fc26","F","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"b946d5f4","525b8c7b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"40454d14","e061b315","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"412148aa","a2c25497","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"cb992070","310aef4a","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"d9a2cabf","7f8e7e5b","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"4cad3333","dfb30b90","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"e26dd249","73f3aa08","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"acfa3b66","09882280","M","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"33f6decf","dfd159fa","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"160ece5d","88cb964e","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6fb3cb9c","4501066f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"68b59dd0","6da8be2b","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"eec3d7d7","ee9139fb","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"501748de","32d50dbd","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"7d1a8201","99c51629","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1e2dee26","70aaf204","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"f6f60691","3bdb84d8","F","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"8d9c6416","9651e4f8","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"dd0d4036","ba6d1369","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"6489767c","31af1917","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"691f17f3","3bd1901a","M","BACHELOR OF SCIENCE AGRICULTURAL EXTENSION","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"62618ab9","649f953f","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b43b3385","6224cfd6","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"877c985c","e729d7c7","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"cec01712","db71274f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d6ae9aa6","dc20b561","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1846ddb7","23b9555c","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"7c60b060","7a8b98ba","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d9c18f86","b5860812","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"22e9f817","3a6d176b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0b1a11fe","c3753e40","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"24920790","967abace","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"24920790","967abace","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"24920790","967abace","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"7d1a2359","7e919ff4","F","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"7d1a2359","7e919ff4","F","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"7d1a2359","7e919ff4","F","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"9988378b","9033437b","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3b504f81","9a5c7ed1","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"76d37a70","31c4a1c3","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"76d37a70","31c4a1c3","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"36a952d6","7e60c7b7","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"a4fcd726","7a47fd63","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c8c0669c","5adc372c","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"6348ed80","a65ca3ae","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9179f7ad","b1a23efa","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"6877cf9a","b09dba4a","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"f74af24c","95acebb8","F","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"4ed18555","0742adfc","F","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"adaf736b","40d78a9c","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"5f5b54ed","2c0cfa07","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"5a2b3cf1","167b311f","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"5a2b3cf1","167b311f","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"143b7b6d","f05ae0d4","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"86598f78","fc4fdbf4","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"86598f78","fc4fdbf4","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"fb43af8e","0fd82d5c","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"cd79781c","dd61e171","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"cd79781c","dd61e171","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"e9b50d03","e78eaa21","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"dfccb2fa","db881094","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"af3adf4e","cd3ebac5","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"815ca33f","fc782801","M","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"eeaf8a2e","23c13b22","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a35d10a5","cbf74c14","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1bb3cc0f","3d0d977b","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"a84e30f5","0207257c","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"07a24242","e7da5c1d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6c8285c9","d58d1511","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"142051ac","4a036d79","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"142051ac","4a036d79","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"92d20eef","75e1445f","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"30db6650","0d445885","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"923dc854","d97dfdd0","M","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"73797c3b","2c52fd22","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"746d3372","2a86031c","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"0e956598","74a222a7","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"0e956598","74a222a7","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"443f657b","6d7d83f7","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"42466d4a","51cba498","F","BACHELOR OF SCIENCE IN MIDWIFERY","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"edceb544","66c3bc17","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"0aaf34bd","96ba070d","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"efd8426e","e2d06da8","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"a6078719","1fe05694","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"587c6de8","c3713e16","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"c4819d84","04f1db8c","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"5db6a87e","dd1525b2","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"69619e68","e8cb44e6","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"631daa22","253620ac","M","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"7f0fe657","97b5dd83","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"5d59e6d9","a5a9d75c","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"976bf6b7","79367d97","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"84b93a5a","12c535d6","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"265822b1","136108da","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"95584df1","3d8c4fb6","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"39faf38d","0e47b5ae","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"0877c6b8","3d4fd412","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"0877c6b8","3d4fd412","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"98bbb705","0b7a7f28","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"e2533d5e","bb9c3912","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"e2533d5e","bb9c3912","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"4e590bf3","4698513e","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"76381218","218e654f","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"29c71875","ca06019b","M","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"c76fe60b","4769e5fc","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"76cc19c1","a9fac1a7","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"29bc1232","6a2e5624","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"3e408483","6d50a8b1","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"a05b7356","8c960d0b","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"8afcf036","8e753a32","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"020d925f","c52b17fa","F","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"aef51c11","0371b20b","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"aef51c11","0371b20b","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"742b77e6","a2f61931","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c448a918","d33069d1","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"50e164c6","6e9929fc","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d8fe3ff6","d9fd3abb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9701e6e4","8836b71e","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"53963ac3","664a570e","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"e1a2d3c6","e948476f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9ab76fa6","0b9e03d1","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"260dd72f","68786200","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"260dd72f","68786200","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"9f289c4d","980ff31d","F","BACHELOR OF SCIENCE IN RADIOGRAPHY (DIAGNOSTICS/THERAPEUTIC)","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"61567d3b","f3a8fc86","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"ff931ce4","b36ee346","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d9f308cc","514bd7d8","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"0927821d","65657c89","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c6c3067f","2bcc2f38","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"39ee410e","6adeb157","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"f38000c7","376e3ed3","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"15ec0f88","4ba6260d","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"0fdfcc37","e67fefd0","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b8bbacd6","5f410be3","M","BACHELOR OF MINERAL SCIENCES","Mines","SCHOOL OF MINES"
"3514ff3c","6351ceca","F","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"8ce83cd0","e6f43052","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"4076c520","021bc613","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"7e84f116","111c9314","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b91964e6","f0fe401d","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"cea9adc7","80b527a1","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"9c115692","599d5560","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"1fd6390c","6a143d2c","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"25731450","0d0b117c","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a1849538","ca7bc94f","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"347b22c4","b42f736a","F","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"7f4042c9","45ac5ab7","F","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"93bd0c15","d8b88408","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"c4e77907","faae236a","F","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"ef62f736","0e8d645e","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"20a2ca64","841c580a","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6d64296f","b3fc1a61","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"76b7b1fb","94fbc2b2","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"706bb138","81870981","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"854af089","8ad83ad1","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"588224c1","86e28c10","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"69497ad1","c49001cd","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"66bcd8b6","8785585a","F","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"6cc2f921","9d68e5cf","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"16eb04a6","ad2c5a25","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ac46e346","24eb333c","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ed5d00a4","5182900e","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"bbb5b234","d0dcf110","M","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"526bb145","7f83c45b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"00d5c3bf","0a63ebd4","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"d97e7f57","58c612ad","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"d47bf8c5","5134b4ab","M","BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed)","Education","SCHOOL OF EDUCATION"
"7693522e","fd19b6fd","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"e001bc72","01960025","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"3fa4e87b","c266b81e","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"af3fd82a","3f6a0f12","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"75acb2a7","99eb5cde","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f6aae7b9","617d2989","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f92d92f7","3f3133df","M","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"06df4ddb","9b4f423f","M","BACHELOR OF SCIENCE IN RADIOGRAPHY (DIAGNOSTICS/THERAPEUTIC)","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"cd27d79c","716c08c1","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1bb77b99","8a731a07","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"e0944f23","e97a5c92","F","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"bc2962cd","c2fde333","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"d1b4a7d3","66189ae9","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3db37eb6","bf8e8729","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
